"Timeinfo","Level","Message","Light","Light Counter","Pressure","Disp Pressure","Pressure Counter","Temperature"
2023-07-02 05:13:50.270, [INFO],Case program initialized
2023-07-02 05:13:50.321, [INFO],Outside,0,0,0,0,0,0
2023-07-02 05:13:50.841, [INFO],outside
2023-07-02 05:13:51.324, [INFO],Outside,843,0,0,0,0,0
2023-07-02 05:13:51.362, [INFO],outside
2023-07-02 05:13:51.884, [INFO],outside
2023-07-02 05:13:52.326, [INFO],Outside,845,0,0,0,0,0
2023-07-02 05:13:52.405, [INFO],outside
2023-07-02 05:13:52.927, [INFO],outside
2023-07-02 05:13:53.328, [INFO],Outside,844,0,0,0,0,0
2023-07-02 05:13:53.449, [INFO],outside
2023-07-02 05:13:53.970, [INFO],outside
2023-07-02 05:13:54.330, [INFO],Outside,844,0,0,0,0,0
2023-07-02 05:13:54.492, [INFO],outside
2023-07-02 05:13:55.13 , [INFO],outside
2023-07-02 05:13:55.332, [INFO],Outside,843,0,0,0,0,0
2023-07-02 05:13:55.535, [INFO],outside
2023-07-02 05:13:56.57 , [INFO],outside
2023-07-02 05:13:56.334, [INFO],Outside,844,0,0,0,0,0
2023-07-02 05:13:56.578, [INFO],outside
2023-07-02 05:13:57.100, [INFO],outside
2023-07-02 05:13:57.335, [INFO],Outside,841,0,0,0,0,0
2023-07-02 05:13:57.622, [INFO],outside
2023-07-02 05:13:58.144, [INFO],outside
2023-07-02 05:13:58.337, [INFO],Outside,844,0,0,0,0,0
2023-07-02 05:13:58.666, [INFO],outside
2023-07-02 05:13:59.188, [INFO],outside
2023-07-02 05:13:59.339, [INFO],Outside,843,0,0,0,0,0
2023-07-02 05:13:59.710, [INFO],outside
2023-07-02 05:14:00.232, [INFO],outside
2023-07-02 05:14:00.342, [INFO],Outside,795,0,0,0,0,0
2023-07-02 05:14:00.754, [INFO],outside
2023-07-02 05:14:01.344, [INFO],Outside,257,1,0,0,0,0
2023-07-02 05:14:02.346, [INFO],Outside,263,3,0,0,0,0
2023-07-02 05:14:03.347, [INFO],Outside,286,4,0,0,0,0
2023-07-02 05:14:03.881, [INFO],outside
2023-07-02 05:14:04.349, [INFO],Outside,304,0,0,0,0,0
2023-07-02 05:14:04.402, [INFO],outside
2023-07-02 05:14:05.351, [INFO],Outside,286,1,0,0,0,0
2023-07-02 05:14:06.353, [INFO],Outside,283,3,0,0,0,0
2023-07-02 05:14:07.355, [INFO],Outside,278,5,0,0,0,0
2023-07-02 05:14:08.357, [INFO],Outside,287,7,0,0,0,0
2023-07-02 05:14:08.570, [INFO],outside
2023-07-02 05:14:09.93 , [INFO],outside
2023-07-02 05:14:09.360, [INFO],Outside,807,0,0,0,0,0
2023-07-02 05:14:09.615, [INFO],outside
2023-07-02 05:14:10.137, [INFO],outside
2023-07-02 05:14:10.362, [INFO],Outside,595,0,0,0,0,0
