"Timeinfo","Level","Message","Distance","Relative Altitude","Absolute Altitude","Latitude","Longitude"
2023-08-30 09:17:43.178, [INFO],Pixhawk initialized
2023-08-30 09:17:43.289, [INFO],Camera initialized
2023-08-30 09:17:47.427, [INFO],['/dev/ttyACM0', '/dev/ttyAMA0']
2023-08-30 09:17:47.429, [INFO],system_address: /dev/ttyACMO
2023-08-30 09:17:47.429, [INFO],Waiting for drone to connect...
2023-08-30 09:17:47.588, [INFO],Connected Drone!
2023-08-30 09:17:47.589, [INFO],Waiting for drone to have a global position estimate...
2023-08-30 09:17:48.507, [INFO],-- Global position estimate OK
2023-08-30 09:17:48.509, [INFO],waiting for pixhawk to hold
2023-08-30 09:17:49.509, [INFO],--Holding
2023-08-30 09:17:50.508, [INFO],-- Hold
2023-08-30 09:17:55.640, [INFO],0.0,-1.0,0.0,0.0,0.0,0.0
2023-08-30 09:17:56.144, [INFO],0.0,0.0399476,0.0659999,0.584,35.796782,139.89181
2023-08-30 09:17:56.647, [INFO],HOLD,0.0299604,0.083,0.6,35.796782,139.89181
2023-08-30 09:17:57.149, [INFO],HOLD,0.0299611,0.088,0.606,35.796782,139.89181
2023-08-30 09:17:57.653, [INFO],HOLD,0.0299609,0.069,0.587,35.796782,139.89181
2023-08-30 09:17:58.155, [INFO],HOLD,0.0299605,0.046,0.563,35.796782,139.89181
2023-08-30 09:17:58.657, [INFO],HOLD,0.0299607,0.043,0.561,35.796782,139.89181
2023-08-30 09:17:59.159, [INFO],HOLD,0.0299606,0.049,0.567,35.796783,139.89181
2023-08-30 09:17:59.677, [INFO],--Clear mission
2023-08-30 09:17:59.682, [INFO],HOLD,0.0299607,0.064,0.581,35.796783,139.89181
2023-08-30 09:17:59.716, [INFO],-- Uploading mission
2023-08-30 09:17:59.764, [INFO],waiting for pixhawk to hold
2023-08-30 09:18:00.186, [INFO],HOLD,0.0399478,0.087,0.604,35.796783,139.89181
2023-08-30 09:18:00.507, [INFO],-- Hold
2023-08-30 09:18:01.511, [INFO],waiting for pixhawk to arm
2023-08-30 09:18:01.524, [INFO],HOLD,0.0399482,0.101,0.618,35.796783,139.89181
2023-08-30 09:18:02.27 , [INFO],HOLD,0.0299606,0.107,0.625,35.796782,139.89181
2023-08-30 09:18:02.506, [INFO],--Arming
2023-08-30 09:18:02.531, [INFO],HOLD,0.0299605,0.084,0.602,35.796782,139.89181
2023-08-30 09:18:03.35 , [INFO],HOLD,0.0299601,-0.01,0.589,35.796782,139.89181
2023-08-30 09:18:03.504, [INFO],-- Arm
2023-08-30 09:18:04.510, [INFO],HOLD,0.0299599,0.0,0.598,35.796783,139.89181
2023-08-30 09:18:05.12 , [INFO],HOLD,0.0299593,0.076,0.675,35.796783,139.89181
2023-08-30 09:18:05.515, [INFO],HOLD,0.0399464,0.091,0.691,35.796783,139.89181
2023-08-30 09:18:06.18 , [INFO],HOLD,0.0299618,0.093,0.693,35.796783,139.89181
2023-08-30 09:18:06.520, [INFO],HOLD,0.0299603,0.099,0.699,35.796783,139.89181
2023-08-30 09:18:07.23 , [INFO],HOLD,0.0399453,0.112,0.712,35.796783,139.89181
2023-08-30 09:18:07.527, [INFO],HOLD,0.02996,0.127,0.727,35.796783,139.89181
2023-08-30 09:18:08.32 , [INFO],HOLD,0.0299594,0.137,0.737,35.796783,139.89181
2023-08-30 09:18:08.536, [INFO],HOLD,0.0399451,0.144,0.744,35.796783,139.89181
2023-08-30 09:18:09.39 , [INFO],HOLD,0.0299593,0.1469999,0.746,35.796783,139.89181
2023-08-30 09:18:09.507, [INFO],--Start mission
2023-08-30 09:18:09.542, [INFO],HOLD,0.0299594,0.153,0.753,35.796783,139.89181
2023-08-30 09:18:10.45 , [INFO],HOLD,0.0399589,0.151,0.751,35.796783,139.89181
2023-08-30 09:18:10.548, [INFO],HOLD,0.0299793,0.0,0.756,35.796783,139.89181
2023-08-30 09:18:11.52 , [INFO],HOLD,0.0399717,-0.025,0.73,35.796783,139.89181
2023-08-30 09:18:11.555, [INFO],HOLD,0.0398729,-0.041,0.714,35.796783,139.89181
2023-08-30 09:18:12.60 , [INFO],HOLD,0.0899702,0.051,0.807,35.796783,139.89181
2023-08-30 09:18:12.563, [INFO],HOLD,0.3598003,0.324,1.08,35.796784,139.89181
2023-08-30 09:18:13.66 , [INFO],HOLD,0.7492253,0.708,1.4640001,35.796785,139.89181
2023-08-30 09:18:13.571, [INFO],HOLD,1.2783998,1.2,1.956,35.796786,139.89181
2023-08-30 09:18:14.74 , [INFO],HOLD,1.8849604,1.7910001,2.5470001,35.796786,139.89181
2023-08-30 09:18:14.578, [INFO],HOLD,2.640215,2.4520001,3.2080001,35.796787,139.89181
