"Timeinfo","Level","Message","Light","Pressure","Disp Pressure","Light Counter","Pressure Counter"
2023-09-13 03:50:37.666, [INFO],Camera initialized
2023-09-13 03:50:37.673, [INFO],Pixhawk initialized
2023-09-13 03:50:37.701, [INFO],['/dev/ttyACM0', '/dev/ttyAMA0']
2023-09-13 03:50:37.703, [INFO],system_address: /dev/ttyACMO
2023-09-13 03:50:37.705, [INFO],Waiting for drone to connect...
2023-09-13 03:50:37.905, [INFO],Connected Drone!
2023-09-13 03:50:37.907, [INFO],Waiting for drone to have a global position estimate...
2023-09-13 03:50:38.819, [INFO],-- Global position estimate OK
2023-09-13 03:50:38.820, [INFO],waiting for pixhawk to hold
2023-09-13 03:50:38.822, [INFO],--Holding
2023-09-13 03:50:46.884, [INFO],0.0,-1.0,0.0,0.0,0.0,0.0
2023-09-13 03:50:47.388, [INFO],0.0,0.0199856,-0.355,1191.749,40.86888,-119.1055
2023-09-13 03:50:47.891, [INFO],HOLD,0.0199857,-0.353,1191.751,40.86888,-119.1055
2023-09-13 03:50:48.395, [INFO],HOLD,0.0199857,-0.351,1191.753,40.86888,-119.1055
2023-09-13 03:50:48.897, [INFO],HOLD,0.0199857,-0.355,1191.749,40.86888,-119.1055
2023-09-13 03:50:49.402, [INFO],HOLD,0.0199856,-0.367,1191.737,40.86888,-119.1055
2023-09-13 03:50:49.866, [INFO],--locate positon
2023-09-13 03:50:49.905, [INFO],HOLD,0.0199857,-0.366,1191.738,40.86888,-119.1055
2023-09-13 03:50:50.408, [INFO],HOLD,0.0199857,-0.367,1191.737,40.86888,-119.1055
2023-09-13 03:50:50.931, [INFO],HOLD,0.0199856,-0.374,1191.7301,40.86888,-119.1055
2023-09-13 03:50:51.433, [INFO],HOLD,0.0199856,-0.38,1191.7239,40.86888,-119.1055
2023-09-13 03:50:51.937, [INFO],HOLD,0.0199858,-0.374,1191.7301,40.86888,-119.1055
2023-09-13 03:50:51.957, [INFO],locate [  40.86888075 -119.10555847 1191.72635498]
2023-09-13 03:50:51.960, [INFO],waiting for pixhawk to arm
2023-09-13 03:50:52.446, [INFO],HOLD,0.0199857,-0.375,1191.729,40.86888,-119.1055
2023-09-13 03:50:52.818, [INFO],--Arming
2023-09-13 03:50:52.949, [INFO],HOLD,0.0199859,0.002,1191.728,40.86888,-119.1055
2023-09-13 03:50:53.455, [INFO],HOLD,0.0199848,0.059,1191.785,40.86888,-119.1055
2023-09-13 03:50:53.818, [INFO],-- Arm
2023-09-13 03:50:53.959, [INFO],HOLD,0.0199848,0.167,1191.893,40.86888,-119.1055
2023-09-13 03:50:54.462, [INFO],HOLD,0.0199851,0.258,1191.984,40.86888,-119.1055
2023-09-13 03:50:54.836, [INFO],--Taking off
2023-09-13 03:50:54.965, [INFO],HOLD,0.0199852,0.354,1192.08,40.868881,-119.1055
2023-09-13 03:50:55.469, [INFO],HOLD,0.0199857,0.355,1192.081,40.86888,-119.1055
2023-09-13 03:50:55.971, [INFO],TAKEOFF,0.0199869,0.333,1192.059,40.86888,-119.1055
2023-09-13 03:50:56.474, [INFO],TAKEOFF,0.0199895,0.343,1192.069,40.86888,-119.1055
2023-09-13 03:50:56.976, [INFO],TAKEOFF,0.0199849,0.334,1192.06,40.86888,-119.1055
2023-09-13 03:50:57.483, [INFO],TAKEOFF,0.1399776,0.445,1192.171,40.868881,-119.1055
2023-09-13 03:50:57.987, [INFO],TAKEOFF,0.7493742,0.977,1192.703,40.868882,-119.1055
2023-09-13 03:50:58.489, [INFO],TAKEOFF,1.6996857,1.825,1193.551,40.868881,-119.1055
2023-09-13 03:50:58.992, [INFO],TAKEOFF,2.6590953,2.7610001,1194.487,40.868882,-119.1055
2023-09-13 03:50:59.494, [INFO],TAKEOFF,3.6718845,3.8140001,1195.54,40.868881,-119.1055
2023-09-13 03:50:59.998, [INFO],TAKEOFF,4.8221433,4.9320001,1196.658,40.868882,-119.1055
2023-09-13 03:51:00.501, [INFO],TAKEOFF,6.0695281,6.1810002,1197.9071,40.868882,-119.1055
2023-09-13 03:51:01.4  , [INFO],TAKEOFF,7.35502,7.6620001,1199.388,40.868883,-119.1055
2023-09-13 03:51:01.255, [INFO],--Holding
2023-09-13 03:51:01.284, [INFO],--Go to lat: 40.868959649999994 lng:-119.10535181 alt:1199.7263549804688 yaw:0
2023-09-13 03:51:01.507, [INFO],TAKEOFF,8.5302697,9.1520004,1200.878,40.868884,-119.1055
2023-09-13 03:51:02.10 , [INFO],HOLD,9.4010117,10.53,1202.2561,40.868885,-119.1055
2023-09-13 03:51:02.520, [INFO],HOLD,9.7896649,11.125,1202.851,40.868887,-119.1055
2023-09-13 03:51:03.23 , [INFO],HOLD,9.5592466,10.976,1202.702,40.86889,-119.1055
2023-09-13 03:51:03.525, [INFO],HOLD,8.8737617,10.614,1202.34,40.868893,-119.1055
2023-09-13 03:51:04.28 , [INFO],HOLD,8.0220799,10.191,1201.9171,40.868897,-119.1055
2023-09-13 03:51:04.531, [INFO],HOLD,7.357701,9.7280006,1201.4541,40.868903,-119.1054
2023-09-13 03:51:05.34 , [INFO],HOLD,6.6356066,9.2420005,1200.968,40.868912,-119.1054
2023-09-13 03:51:05.539, [INFO],HOLD,5.9891574,8.7140007,1200.44,40.868921,-119.1054
2023-09-13 03:51:06.42 , [INFO],HOLD,5.4791679,8.184,1199.91,40.868931,-119.1054
2023-09-13 03:51:06.546, [INFO],HOLD,5.154435,7.8030004,1199.529,40.868941,-119.1053
2023-09-13 03:51:07.50 , [INFO],HOLD,4.9729521,7.5690002,1199.295,40.868947,-119.1053
2023-09-13 03:51:07.558, [INFO],HOLD,4.7831716,7.3270001,1199.0531,40.868953,-119.1053
2023-09-13 03:51:08.60 , [INFO],HOLD,4.6982115,7.1700005,1198.8959,40.868956,-119.1053
2023-09-13 03:51:08.562, [INFO],HOLD,4.7369163,7.1180005,1198.8441,40.868957,-119.1053
2023-09-13 03:51:09.65 , [INFO],HOLD,4.7986725,7.0880002,1198.814,40.868958,-119.1053
2023-09-13 03:51:09.567, [INFO],HOLD,4.8688728,7.0660004,1198.7921,40.868958,-119.1053
2023-09-13 03:51:10.69 , [INFO],HOLD,4.9359504,7.0560002,1198.7821,40.868957,-119.1053
2023-09-13 03:51:10.571, [INFO],HOLD,5.0148492,7.0380001,1198.764,40.868957,-119.1053
2023-09-13 03:51:11.74 , [INFO],HOLD,5.1270679,7.0220003,1198.748,40.868957,-119.1053
2023-09-13 03:51:11.579, [INFO],HOLD,5.2538418,7.0150003,1198.741,40.868957,-119.1053
2023-09-13 03:51:12.81 , [INFO],HOLD,5.4051741,7.0360002,1198.762,40.868958,-119.1053
2023-09-13 03:51:12.587, [INFO],HOLD,5.575642,7.0800004,1198.806,40.868958,-119.1053
2023-09-13 03:51:13.90 , [INFO],HOLD,5.7548135,7.1250004,1198.851,40.868959,-119.1053
2023-09-13 03:51:13.594, [INFO],HOLD,5.8910479,7.1520004,1198.878,40.868959,-119.1053
2023-09-13 03:51:14.99 , [INFO],HOLD,6.040065,7.1770005,1198.903,40.868959,-119.1053
2023-09-13 03:51:14.601, [INFO],HOLD,6.2205611,7.2350001,1198.961,40.868959,-119.1053
2023-09-13 03:51:15.104, [INFO],HOLD,6.4093759,7.2850003,1199.0111,40.868959,-119.1053
2023-09-13 03:51:15.607, [INFO],HOLD,6.5633364,7.3330001,1199.059,40.86896,-119.1053
