"Timeinfo","Level","Message","Light","Light Counter","Pressure","Disp Pressure","Pressure Counter","Temperature"
2023-08-10 14:21:23.458, [INFO],Case program initialized
2023-08-10 14:21:23.461, [INFO],Pixhawk initialized
2023-08-10 14:21:23.469, [INFO],Outside,0,0,0,0,0,0
2023-08-10 14:21:23.998, [INFO],outside
2023-08-10 14:21:24.473, [INFO],Outside,809,0,0,0,0,0
2023-08-10 14:21:24.531, [INFO],outside
2023-08-10 14:21:25.63 , [INFO],outside
2023-08-10 14:21:25.476, [INFO],Outside,809,0,0,0,0,0
2023-08-10 14:21:25.595, [INFO],outside
2023-08-10 14:21:26.127, [INFO],outside
2023-08-10 14:21:26.478, [INFO],Outside,808,0,0,0,0,0
2023-08-10 14:21:26.659, [INFO],outside
2023-08-10 14:21:27.191, [INFO],outside
2023-08-10 14:21:27.480, [INFO],Outside,809,0,0,0,0,0
2023-08-10 14:21:27.723, [INFO],outside
2023-08-10 14:21:28.255, [INFO],outside
2023-08-10 14:21:28.486, [INFO],Outside,808,0,0,0,0,0
2023-08-10 14:21:28.787, [INFO],outside
2023-08-10 14:21:29.319, [INFO],outside
2023-08-10 14:21:29.488, [INFO],Outside,808,0,0,0,0,0
2023-08-10 14:21:29.851, [INFO],outside
2023-08-10 14:21:30.384, [INFO],outside
2023-08-10 14:21:30.490, [INFO],Outside,809,0,0,0,0,0
2023-08-10 14:21:30.917, [INFO],outside
2023-08-10 14:21:31.450, [INFO],outside
2023-08-10 14:21:31.493, [INFO],Outside,808,0,0,0,0,0
2023-08-10 14:21:31.982, [INFO],outside
2023-08-10 14:21:32.496, [INFO],Outside,809,0,0,0,0,0
2023-08-10 14:21:32.515, [INFO],outside
2023-08-10 14:21:33.47 , [INFO],outside
2023-08-10 14:21:33.500, [INFO],Outside,809,0,0,0,0,0
2023-08-10 14:21:33.580, [INFO],outside
2023-08-10 14:21:33.581, [INFO],Storage Succeeded
2023-08-10 14:21:33.582, [INFO],Release Succeeded
2023-08-10 14:21:33.583, [INFO],Landing Succeeded
2023-08-10 14:21:33.584, [INFO],Cut case
2023-08-10 14:21:34.503, [INFO],Land,808,0,0,0,0,0
2023-08-10 14:21:35.506, [INFO],Land,808,0,0,0,0,0
2023-08-10 14:21:36.508, [INFO],Land,808,0,0,0,0,0
2023-08-10 14:21:37.511, [INFO],Land,808,0,0,0,0,0
2023-08-10 14:21:38.515, [INFO],Land,808,0,0,0,0,0
2023-08-10 14:21:38.591, [INFO],Begin expantion
2023-08-10 14:21:39.92 , [INFO],Expanded
2023-08-10 14:21:39.518, [INFO],Land,808,0,0,0,0,0
2023-08-10 14:21:40.521, [INFO],Land,808,0,0,0,0,0
2023-08-10 14:21:41.524, [INFO],Land,808,0,0,0,0,0
2023-08-10 14:21:42.527, [INFO],Land,808,0,0,0,0,0
2023-08-10 14:21:43.531, [INFO],Land,808,0,0,0,0,0
2023-08-10 14:21:44.534, [INFO],Land,808,0,0,0,0,0
2023-08-10 14:21:45.537, [INFO],Land,808,0,0,0,0,0
2023-08-10 14:21:46.540, [INFO],Land,808,0,0,0,0,0
2023-08-10 14:21:47.543, [INFO],Land,808,0,0,0,0,0
2023-08-10 14:21:48.547, [INFO],Land,808,0,0,0,0,0
2023-08-10 14:21:49.104, [INFO],Cut case
2023-08-10 14:21:49.550, [INFO],Land,808,0,0,0,0,0
2023-08-10 14:21:50.553, [INFO],Land,808,0,0,0,0,0
2023-08-10 14:21:51.556, [INFO],Land,808,0,0,0,0,0
2023-08-10 14:21:52.558, [INFO],Land,808,0,0,0,0,0
2023-08-10 14:21:53.563, [INFO],Land,808,0,0,0,0,0
2023-08-10 14:21:54.111, [INFO],Begin expantion
2023-08-10 14:21:54.565, [INFO],Land,808,0,0,0,0,0
2023-08-10 14:21:54.613, [INFO],Expanded
2023-08-10 14:21:55.604, [INFO],['/dev/ttyAMA0']
2023-08-10 14:21:55.606, [INFO],Waiting for drone to connect...
