"Timeinfo","Level","Message","Light","Light Counter","Odo Altitude","Disp Altitude","Altitude Counter","Disp Velocity Z","Landing Counter"
2023-08-29 15:25:03.172, [INFO],Pixhawk initialized
2023-08-29 15:25:03.174, [INFO],Case program initialized
2023-08-29 15:25:07.327, [INFO],['/dev/ttyACM0', '/dev/ttyAMA0']
2023-08-29 15:25:07.328, [INFO],system_address: /dev/ttyACMO
2023-08-29 15:25:07.329, [INFO],Waiting for drone to connect...
2023-08-29 15:25:08.449, [INFO],Connected Drone!
2023-08-29 15:25:08.455, [INFO],Outside,0,1,0,0,0,0,0
2023-08-29 15:25:13.563, [INFO],Outside,0,2,0,0,0,0,0
2023-08-29 15:25:18.670, [INFO],Outside,0,3,0,0,0,0,0
2023-08-29 15:25:23.780, [INFO],Outside,0,4,0,0,0,0,0
2023-08-29 15:25:28.883, [INFO],Outside,0,5,0,0,0,0,0
2023-08-29 15:25:33.991, [INFO],Outside,0,6,0,0,0,0,0
2023-08-29 15:25:39.98 , [INFO],Outside,0,7,0,0,0,0,0
2023-08-29 15:25:44.205, [INFO],Outside,0,8,0,0,0,0,0
2023-08-29 15:25:49.317, [INFO],Outside,0,9,0,0,0,0,0
