"Timeinfo","Level","Message","Light","Pressure","Disp Pressure","Light Counter","Pressure Counter"
2023-09-14 02:08:50.543, [INFO],Case program initialized
2023-09-14 02:08:50.777, [INFO],Camera initialized
2023-09-14 02:08:58.799, [INFO],Outside,0,0,0,0,0
2023-09-14 02:08:59.420, [INFO],Still Outside
2023-09-14 02:08:59.804, [INFO],Judge Storage:L,883,0,0,0,0
2023-09-14 02:08:59.984, [INFO],Still Outside
2023-09-14 02:09:00.546, [INFO],Still Outside
2023-09-14 02:09:00.807, [INFO],Judge Storage:L,880,0,0,0,0
2023-09-14 02:09:01.109, [INFO],Still Outside
2023-09-14 02:09:01.671, [INFO],Still Outside
2023-09-14 02:09:01.809, [INFO],Judge Storage:L,880,0,0,0,0
2023-09-14 02:09:02.234, [INFO],Still Outside
2023-09-14 02:09:02.798, [INFO],Still Outside
2023-09-14 02:09:02.812, [INFO],Judge Storage:L,882,0,0,0,0
2023-09-14 02:09:03.360, [INFO],Still Outside
2023-09-14 02:09:03.814, [INFO],Judge Storage:L,877,0,0,0,0
2023-09-14 02:09:03.924, [INFO],Still Outside
2023-09-14 02:09:04.486, [INFO],Still Outside
2023-09-14 02:09:04.818, [INFO],Judge Storage:L,886,0,0,0,0
2023-09-14 02:09:05.49 , [INFO],Still Outside
2023-09-14 02:09:05.612, [INFO],Still Outside
2023-09-14 02:09:05.820, [INFO],Judge Storage:L,885,0,0,0,0
2023-09-14 02:09:06.174, [INFO],Still Outside
2023-09-14 02:09:06.737, [INFO],Still Outside
2023-09-14 02:09:06.823, [INFO],Judge Storage:L,888,0,0,0,0
2023-09-14 02:09:07.815, [INFO],Still Outside
2023-09-14 02:09:08.256, [INFO],Judge Storage:L,886,0,0,0,0
2023-09-14 02:09:08.378, [INFO],Still Outside
2023-09-14 02:09:08.941, [INFO],Still Outside
2023-09-14 02:09:09.258, [INFO],Judge Storage:L,877,0,0,0,0
2023-09-14 02:09:09.503, [INFO],Still Outside
2023-09-14 02:33:13.637, [INFO],Still Outside
2023-09-14 02:33:13.832, [INFO],Judge Storage:L,853,0,0,0,0
2023-09-14 02:33:14.199, [INFO],Still Outside
2023-09-14 02:33:14.762, [INFO],Still Outside
2023-09-14 02:33:14.834, [INFO],Judge Storage:L,864,0,0,0,0
2023-09-14 02:33:15.325, [INFO],Still Outside
2023-09-14 02:33:15.837, [INFO],Judge Storage:L,862,0,0,0,0
2023-09-14 02:33:15.894, [INFO],Still Outside
2023-09-14 02:33:16.457, [INFO],Still Outside
