"Timeinfo","Level","Message","Distance","Relative Altitude","Absolute Altitude","Latitude","Longitude"
2023-08-12 05:10:12.102, [INFO],Case program initialized
2023-08-12 05:10:12.115, [INFO],Outside,0,0,0,0,0,0
2023-08-12 05:10:12.645, [INFO],outside
2023-08-12 05:10:13.120, [INFO],Outside,971,0,0,0,0,0
2023-08-12 05:10:13.177, [INFO],outside
2023-08-12 05:10:13.709, [INFO],outside
2023-08-12 05:10:14.123, [INFO],Outside,972,0,0,0,0,0
2023-08-12 05:10:14.241, [INFO],outside
2023-08-12 05:10:14.773, [INFO],outside
2023-08-12 05:10:15.126, [INFO],Outside,972,0,0,0,0,0
2023-08-12 05:10:15.306, [INFO],outside
2023-08-12 05:10:15.839, [INFO],outside
2023-08-12 05:10:16.135, [INFO],Outside,972,0,0,0,0,0
2023-08-12 05:10:16.372, [INFO],outside
2023-08-12 05:10:16.905, [INFO],outside
2023-08-12 05:10:17.138, [INFO],Outside,972,0,0,0,0,0
2023-08-12 05:10:17.438, [INFO],outside
2023-08-12 05:10:17.972, [INFO],outside
2023-08-12 05:10:18.142, [INFO],Outside,972,0,0,0,0,0
2023-08-12 05:10:18.505, [INFO],outside
2023-08-12 05:10:19.38 , [INFO],outside
2023-08-12 05:10:19.145, [INFO],Outside,972,0,0,0,0,0
2023-08-12 05:10:19.571, [INFO],outside
2023-08-12 05:10:20.104, [INFO],outside
2023-08-12 05:10:20.148, [INFO],Outside,972,0,0,0,0,0
2023-08-12 05:10:20.637, [INFO],outside
2023-08-12 05:10:21.153, [INFO],Outside,972,0,0,0,0,0
2023-08-12 05:10:21.170, [INFO],outside
2023-08-12 05:10:21.703, [INFO],outside
2023-08-12 05:10:22.157, [INFO],Outside,972,0,0,0,0,0
2023-08-12 05:10:22.236, [INFO],outside
2023-08-12 05:10:22.769, [INFO],outside
2023-08-12 05:10:23.160, [INFO],Outside,972,0,0,0,0,0
2023-08-12 05:10:23.302, [INFO],outside
2023-08-12 05:10:23.835, [INFO],outside
2023-08-12 05:10:24.163, [INFO],Outside,972,0,0,0,0,0
2023-08-12 05:10:24.368, [INFO],outside
2023-08-12 05:10:24.901, [INFO],outside
2023-08-12 05:10:25.166, [INFO],Outside,972,0,0,0,0,0
2023-08-12 05:10:25.434, [INFO],outside
2023-08-12 05:10:25.967, [INFO],outside
2023-08-12 05:10:26.171, [INFO],Outside,972,0,0,0,0,0
2023-08-12 05:10:26.501, [INFO],outside
2023-08-12 05:10:27.34 , [INFO],outside
2023-08-12 05:10:27.174, [INFO],Outside,972,0,0,0,0,0
2023-08-12 05:10:27.567, [INFO],outside
2023-08-12 05:10:28.100, [INFO],outside
2023-08-12 05:10:28.177, [INFO],Outside,972,0,0,0,0,0
2023-08-12 05:10:28.633, [INFO],outside
2023-08-12 05:10:29.165, [INFO],outside
2023-08-12 05:10:29.180, [INFO],Outside,972,0,0,0,0,0
2023-08-12 05:10:29.698, [INFO],outside
2023-08-12 05:10:30.183, [INFO],Outside,972,0,0,0,0,0
2023-08-12 05:10:30.230, [INFO],outside
2023-08-12 05:10:30.763, [INFO],outside
2023-08-12 05:10:31.187, [INFO],Outside,972,0,0,0,0,0
2023-08-12 05:10:31.296, [INFO],outside
2023-08-12 05:10:31.828, [INFO],outside
2023-08-12 05:10:32.190, [INFO],Outside,972,0,0,0,0,0
2023-08-12 05:10:32.361, [INFO],outside
2023-08-12 05:10:32.894, [INFO],outside
2023-08-12 05:10:33.192, [INFO],Outside,972,0,0,0,0,0
2023-08-12 05:10:33.426, [INFO],outside
2023-08-12 05:10:33.959, [INFO],outside
2023-08-12 05:10:34.195, [INFO],Outside,972,0,0,0,0,0
2023-08-12 05:10:34.491, [INFO],outside
2023-08-12 05:10:35.24 , [INFO],outside
2023-08-12 05:10:35.198, [INFO],Outside,972,0,0,0,0,0
2023-08-12 05:10:35.557, [INFO],outside
2023-08-12 05:10:36.90 , [INFO],outside
2023-08-12 05:10:36.203, [INFO],Outside,972,0,0,0,0,0
2023-08-12 05:10:36.623, [INFO],outside
2023-08-12 05:10:37.156, [INFO],outside
2023-08-12 05:10:37.206, [INFO],Outside,972,0,0,0,0,0
2023-08-12 05:10:37.689, [INFO],outside
2023-08-12 05:10:38.209, [INFO],Outside,972,0,0,0,0,0
