"Timeinfo","Level","Message","Distance","Relative Altitude","Absolute Altitude","Latitude","Longitude"
2023-08-15 12:36:50.399, [INFO],Case program initialized
2023-08-15 12:37:02.428, [INFO],Outside,0,0,0,0,0,0
2023-08-15 12:37:03.435, [INFO],Outside,766,1,0,0,0,0
2023-08-15 12:37:04.438, [INFO],Outside,755,3,0,0,0,0
2023-08-15 12:37:05.440, [INFO],Outside,166,5,0,0,0,0
2023-08-15 12:37:06.443, [INFO],Outside,126,7,0,0,0,0
2023-08-15 12:37:07.445, [INFO],Outside,121,9,0,0,0,0
2023-08-15 12:37:07.736, [INFO],Storage Succeeded
2023-08-15 12:37:08.242, [INFO],failed
2023-08-15 12:37:08.450, [INFO],Storage,730,0,1008.0419921875,0.03515625,0,31.74791666666667
2023-08-15 12:37:09.250, [INFO],failed
2023-08-15 12:37:09.453, [INFO],Storage,740,0,1008.00244140625,0.017578125,0,31.78333333333333
2023-08-15 12:37:10.456, [INFO],Storage,726,0,1007.990234375,-0.006103515625,2,31.81041666666667
2023-08-15 12:37:10.762, [INFO],failed
2023-08-15 12:37:11.267, [INFO],failed
2023-08-15 12:37:11.459, [INFO],Storage,687,0,1008.04541015625,0.001220703125,0,31.829166666666666
2023-08-15 12:37:12.461, [INFO],Storage,712,0,1008.056640625,-0.012451171875,1,31.854166666666664
2023-08-15 12:37:13.465, [INFO],Storage,684,0,1008.032958984375,-0.072509765625,1,31.87291666666667
2023-08-15 12:37:13.786, [INFO],failed
2023-08-15 12:37:14.290, [INFO],failed
2023-08-15 12:37:14.468, [INFO],Storage,691,0,1008.078125,0.0595703125,0,31.891666666666666
2023-08-15 12:37:15.299, [INFO],failed
2023-08-15 12:37:15.471, [INFO],Storage,704,0,1008.02587890625,0.0751953125,0,31.902083333333334
2023-08-15 12:37:16.474, [INFO],Storage,731,0,1008.005859375,-0.036376953125,1,31.925
2023-08-15 12:37:16.811, [INFO],failed
2023-08-15 12:37:17.316, [INFO],failed
2023-08-15 12:37:17.477, [INFO],Storage,729,0,1008.0712890625,0.01123046875,0,31.941666666666666
2023-08-15 12:37:18.324, [INFO],failed
2023-08-15 12:37:18.481, [INFO],Storage,728,0,1008.03564453125,0.0283203125,0,31.958333333333336
2023-08-15 12:37:18.829, [INFO],failed
2023-08-15 12:37:19.484, [INFO],Storage,732,0,1008.04296875,-0.040283203125,1,31.975
2023-08-15 12:37:20.341, [INFO],failed
2023-08-15 12:37:20.487, [INFO],Storage,732,0,1008.080078125,0.037353515625,0,31.99791666666667
2023-08-15 12:37:21.350, [INFO],failed
2023-08-15 12:37:21.489, [INFO],Storage,730,0,1007.9990234375,0.075439453125,0,32.00625
2023-08-15 12:37:21.857, [INFO],failed
2023-08-15 12:37:22.492, [INFO],Storage,728,0,1008.107666015625,-0.02880859375,0,32.025
2023-08-15 12:37:22.882, [INFO],failed
2023-08-15 12:37:23.494, [INFO],Storage,731,0,1008.039794921875,-0.022705078125,1,32.045833333333334
2023-08-15 12:37:23.888, [INFO],failed
2023-08-15 12:37:24.496, [INFO],Storage,713,0,1008.081298828125,-0.0146484375,1,32.06458333333333
2023-08-15 12:37:25.498, [INFO],Storage,728,0,1008.0302734375,-0.02392578125,2,32.08125
2023-08-15 12:37:26.500, [INFO],Storage,742,0,1008.089599609375,-0.029296875,3,32.1
2023-08-15 12:37:27.409, [INFO],failed
2023-08-15 12:37:27.506, [INFO],Storage,745,0,1007.997314453125,0.055908203125,0,32.11666666666667
2023-08-15 12:37:27.914, [INFO],failed
2023-08-15 12:37:28.420, [INFO],failed
2023-08-15 12:37:28.509, [INFO],Storage,720,0,1008.029052734375,0.035400390625,0,32.141666666666666
2023-08-15 12:37:29.430, [INFO],failed
