"Timeinfo","Level","Message","Distance","Relative Altitude","Absolute Altitude","Latitude","Longitude"
2023-08-15 12:53:49.318, [INFO],Case program initialized
2023-08-15 12:54:01.344, [INFO],Outside,0,0,0,0,0,0
2023-08-15 12:54:02.350, [INFO],Outside,616,1,0,0,0,0
2023-08-15 12:54:03.352, [INFO],Outside,635,3,0,0,0,0
2023-08-15 12:54:04.355, [INFO],Outside,686,5,0,0,0,0
2023-08-15 12:54:05.357, [INFO],Outside,441,7,0,0,0,0
2023-08-15 12:54:06.359, [INFO],Outside,357,9,0,0,0,0
2023-08-15 12:54:06.651, [INFO],Storage Succeeded
2023-08-15 12:54:07.364, [INFO],Storage,342,0,1008.2109375,-0.050048828125,1,35.41875
2023-08-15 12:54:08.367, [INFO],Storage,358,0,1008.221435546875,-0.005615234375,3,35.44166666666666
2023-08-15 12:54:08.668, [INFO],failed
2023-08-15 12:54:09.370, [INFO],Storage,378,0,1008.22900390625,-0.008544921875,0,35.454166666666666
2023-08-15 12:54:10.372, [INFO],Storage,454,0,1008.24365234375,-0.018310546875,1,35.46875
2023-08-15 12:54:10.685, [INFO],failed
2023-08-15 12:54:11.375, [INFO],Storage,622,0,1008.197509765625,-0.00830078125,0,35.479166666666664
2023-08-15 12:54:12.198, [INFO],failed
2023-08-15 12:54:12.380, [INFO],Storage,528,0,1008.217041015625,0.04541015625,0,35.48125
2023-08-15 12:54:13.206, [INFO],failed
2023-08-15 12:54:13.382, [INFO],Storage,703,0,1008.254638671875,0.026611328125,0,35.489583333333336
2023-08-15 12:54:13.712, [INFO],failed
2023-08-15 12:54:14.217, [INFO],failed
2023-08-15 12:54:14.385, [INFO],Storage,694,0,1008.31201171875,0.044189453125,0,35.49583333333334
2023-08-15 12:54:14.722, [INFO],failed
2023-08-15 12:54:15.387, [INFO],Storage,681,0,1008.294921875,-0.08203125,0,35.49166666666667
2023-08-15 12:54:15.731, [INFO],failed
2023-08-15 12:54:16.390, [INFO],Storage,638,0,1008.261474609375,-0.004638671875,0,35.49791666666667
2023-08-15 12:54:17.244, [INFO],failed
2023-08-15 12:54:17.395, [INFO],Storage,523,0,1008.26123046875,0.0419921875,0,35.49166666666667
2023-08-15 12:54:17.749, [INFO],failed
2023-08-15 12:54:18.254, [INFO],failed
