"Timeinfo","Level","Message","Distance","Relative Altitude","Absolute Altitude","Latitude","Longitude"
2023-08-15 12:42:51.113, [INFO],Case program initialized
2023-08-15 12:43:03.143, [INFO],Outside,0,0,0,0,0,0
2023-08-15 12:43:04.152, [INFO],Outside,738,1,0,0,0,0
2023-08-15 12:43:05.155, [INFO],Outside,737,3,0,0,0,0
2023-08-15 12:43:06.159, [INFO],Outside,737,5,0,0,0,0
2023-08-15 12:43:07.163, [INFO],Outside,323,7,0,0,0,0
2023-08-15 12:43:08.165, [INFO],Outside,121,9,0,0,0,0
2023-08-15 12:43:08.451, [INFO],Storage Succeeded
2023-08-15 12:43:09.170, [INFO],Storage,192,0,1007.87548828125,-0.03369140625,1,36.139583333333334
2023-08-15 12:43:10.173, [INFO],Storage,739,0,1007.8359375,-0.006591796875,1,36.175
2023-08-15 12:43:10.466, [INFO],failed
2023-08-15 12:43:10.972, [INFO],failed
2023-08-15 12:43:11.176, [INFO],Storage,740,0,1007.890869140625,0.05078125,0,36.19375
2023-08-15 12:43:11.477, [INFO],failed
2023-08-15 12:43:12.179, [INFO],Storage,739,0,1007.921630859375,-0.11669921875,1,36.21041666666667
2023-08-15 12:43:13.182, [INFO],Storage,739,0,1007.951416015625,-0.01171875,3,36.22083333333333
2023-08-15 12:43:13.493, [INFO],failed
2023-08-15 12:43:14.186, [INFO],Storage,740,0,1007.85595703125,-0.018798828125,0,36.233333333333334
2023-08-15 12:43:15.5  , [INFO],failed
2023-08-15 12:43:15.189, [INFO],Storage,736,0,1007.888671875,0.03076171875,0,36.24166666666667
2023-08-15 12:43:15.510, [INFO],failed
2023-08-15 12:43:16.15 , [INFO],failed
2023-08-15 12:43:16.192, [INFO],Storage,742,0,1007.8779296875,0.00439453125,0,36.260416666666664
2023-08-15 12:43:16.520, [INFO],failed
2023-08-15 12:43:17.26 , [INFO],failed
2023-08-15 12:43:17.194, [INFO],Storage,743,0,1007.827880859375,0.038330078125,0,36.26875
2023-08-15 12:43:18.35 , [INFO],failed
2023-08-15 12:43:18.198, [INFO],Storage,747,0,1007.98095703125,0.0517578125,0,36.28333333333333
2023-08-15 12:43:18.540, [INFO],failed
2023-08-15 12:43:19.202, [INFO],Storage,738,0,1007.884765625,-0.037109375,1,36.291666666666664
2023-08-15 12:43:20.205, [INFO],Storage,736,0,1007.959716796875,-0.04345703125,3,36.30833333333334
2023-08-15 12:43:21.208, [INFO],Storage,826,0,1007.960205078125,-0.0458984375,4,36.31458333333333
2023-08-15 12:43:22.66 , [INFO],failed
2023-08-15 12:43:22.210, [INFO],Storage,851,2,1007.93212890625,0.071044921875,0,36.327083333333334
2023-08-15 12:43:23.75 , [INFO],failed
2023-08-15 12:43:23.213, [INFO],Storage,840,0,1007.930908203125,0.04345703125,0,36.34166666666667
2023-08-15 12:43:23.580, [INFO],failed
2023-08-15 12:43:24.217, [INFO],Storage,841,0,1007.951171875,-0.052001953125,0,36.34791666666666
2023-08-15 12:43:24.588, [INFO],failed
2023-08-15 12:43:25.220, [INFO],Storage,840,0,1007.9296875,-0.0576171875,0,36.360416666666666
2023-08-15 12:43:25.597, [INFO],failed
2023-08-15 12:43:26.222, [INFO],Storage,841,0,1007.9755859375,-0.009033203125,1,36.36875
2023-08-15 12:43:26.605, [INFO],failed
2023-08-15 12:43:27.225, [INFO],Storage,838,0,1007.982666015625,-0.016357421875,0,36.38125
2023-08-15 12:43:28.118, [INFO],failed
2023-08-15 12:43:28.228, [INFO],Storage,844,0,1007.897216796875,0.057861328125,0,36.389583333333334
2023-08-15 12:43:29.126, [INFO],failed
2023-08-15 12:43:29.232, [INFO],Storage,832,0,1007.8916015625,0.0830078125,0,36.39791666666667
2023-08-15 12:43:30.135, [INFO],failed
2023-08-15 12:43:30.235, [INFO],Storage,850,0,1007.97705078125,0.00830078125,0,36.40833333333333
2023-08-15 12:43:31.143, [INFO],failed
2023-08-15 12:43:31.238, [INFO],Storage,850,0,1008.091064453125,0.0302734375,0,36.422916666666666
2023-08-15 12:43:31.648, [INFO],failed
2023-08-15 12:43:32.153, [INFO],failed
2023-08-15 12:43:32.241, [INFO],Storage,857,2,1008.134765625,0.055908203125,0,36.42916666666667
2023-08-15 12:43:32.658, [INFO],failed
2023-08-15 12:43:33.163, [INFO],failed
2023-08-15 12:43:33.244, [INFO],Storage,857,4,1008.239501953125,0.04150390625,0,36.44166666666666
2023-08-15 12:43:34.172, [INFO],failed
2023-08-15 12:43:34.249, [INFO],Storage,875,6,1008.3408203125,0.0302734375,0,36.452083333333334
2023-08-15 12:43:35.251, [INFO],Storage,868,8,1008.44482421875,-0.02294921875,2,36.46458333333334
2023-08-15 12:43:35.684, [INFO],failed
2023-08-15 12:43:36.254, [INFO],Storage,860,10,1008.535888671875,-0.04736328125,0,36.475
2023-08-15 12:43:37.195, [INFO],failed
2023-08-15 12:43:37.257, [INFO],Storage,863,12,1008.60498046875,0.01416015625,0,36.483333333333334
2023-08-15 12:43:38.204, [INFO],failed
2023-08-15 12:43:38.261, [INFO],Storage,865,14,1008.638427734375,0.018798828125,0,36.489583333333336
2023-08-15 12:43:38.710, [INFO],failed
2023-08-15 12:43:39.215, [INFO],failed
2023-08-15 12:43:39.265, [INFO],Storage,839,15,1008.701416015625,0.01416015625,0,36.50416666666666
2023-08-15 12:43:39.720, [INFO],failed
2023-08-15 12:43:40.226, [INFO],failed
2023-08-15 12:43:40.268, [INFO],Storage,857,17,1008.812255859375,0.031005859375,0,36.50416666666666
2023-08-15 12:43:41.234, [INFO],failed
2023-08-15 12:43:41.270, [INFO],Storage,832,18,1008.8662109375,0.0537109375,0,36.51875
2023-08-15 12:43:41.740, [INFO],failed
2023-08-15 12:43:42.245, [INFO],failed
2023-08-15 12:43:42.273, [INFO],Storage,852,19,1008.971923828125,0.0068359375,0,36.53125
2023-08-15 12:43:43.253, [INFO],failed
2023-08-15 12:43:43.276, [INFO],Storage,856,21,1009.0576171875,0.014892578125,0,36.53958333333333
2023-08-15 12:43:43.759, [INFO],failed
2023-08-15 12:43:44.264, [INFO],failed
2023-08-15 12:43:44.280, [INFO],Storage,858,23,1009.184326171875,0.00048828125,0,36.55
2023-08-15 12:43:44.769, [INFO],failed
2023-08-15 12:43:45.275, [INFO],failed
2023-08-15 12:43:45.282, [INFO],Storage,868,25,1009.285888671875,0.01025390625,0,36.5625
2023-08-15 12:43:46.283, [INFO],failed
2023-08-15 12:43:46.285, [INFO],Storage,871,27,1009.338623046875,0.04248046875,0,36.57083333333333
2023-08-15 12:43:46.788, [INFO],failed
2023-08-15 12:43:47.287, [INFO],Storage,869,29,1009.413330078125,0.0478515625,1,36.583333333333336
2023-08-15 12:43:47.293, [INFO],failed
2023-08-15 12:43:48.290, [INFO],Storage,868,31,1009.600341796875,-0.000732421875,1,36.58958333333334
2023-08-15 12:43:48.805, [INFO],failed
2023-08-15 12:43:49.294, [INFO],Storage,870,33,1009.637939453125,0.013671875,1,36.60208333333333
2023-08-15 12:43:49.310, [INFO],failed
2023-08-15 12:43:49.815, [INFO],failed
2023-08-15 12:43:50.297, [INFO],Storage,848,34,1009.708984375,0.019775390625,1,36.6125
2023-08-15 12:43:50.320, [INFO],failed
2023-08-15 12:43:50.825, [INFO],failed
2023-08-15 12:43:51.300, [INFO],Storage,877,36,1009.7890625,0.054931640625,1,36.61666666666667
2023-08-15 12:43:51.330, [INFO],failed
2023-08-15 12:43:51.835, [INFO],failed
2023-08-15 12:43:52.303, [INFO],Storage,850,37,1009.88671875,-0.01025390625,0,36.625
2023-08-15 12:43:52.844, [INFO],failed
2023-08-15 12:43:53.306, [INFO],Storage,851,38,1010.00341796875,0.0078125,1,36.63125
2023-08-15 12:43:53.852, [INFO],failed
2023-08-15 12:43:54.310, [INFO],Storage,861,40,1010.058837890625,-0.052978515625,0,36.6375
2023-08-15 12:43:55.313, [INFO],Storage,870,42,1010.11962890625,0.027099609375,1,36.645833333333336
2023-08-15 12:43:55.868, [INFO],failed
2023-08-15 12:43:56.316, [INFO],Storage,875,44,1010.214599609375,0.112060546875,1,36.65625
2023-08-15 12:43:56.877, [INFO],failed
2023-08-15 12:43:57.318, [INFO],Storage,867,46,1010.2783203125,0.004150390625,1,36.66875
2023-08-15 12:43:57.382, [INFO],failed
2023-08-15 12:43:58.322, [INFO],Storage,876,48,1010.33544921875,0.0498046875,1,36.670833333333334
2023-08-15 12:43:58.390, [INFO],failed
2023-08-15 12:43:59.327, [INFO],Storage,857,50,1010.430419921875,-0.016357421875,1,36.68541666666667
2023-08-15 12:43:59.902, [INFO],failed
2023-08-15 12:44:00.329, [INFO],Storage,875,52,1010.46435546875,-0.043701171875,0,36.68958333333333
2023-08-15 12:44:01.332, [INFO],Storage,864,54,1010.438720703125,-0.046875,0,36.702083333333334
2023-08-15 12:44:02.335, [INFO],Storage,865,56,1010.430908203125,-0.049072265625,1,36.71041666666667
2023-08-15 12:44:02.421, [INFO],failed
2023-08-15 12:44:03.338, [INFO],Storage,876,58,1010.379150390625,0.004150390625,1,36.71875
2023-08-15 12:44:03.430, [INFO],failed
2023-08-15 12:44:03.935, [INFO],failed
2023-08-15 12:44:04.343, [INFO],Storage,839,59,1010.429443359375,0.0185546875,1,36.729166666666664
2023-08-15 12:44:04.944, [INFO],failed
2023-08-15 12:44:05.346, [INFO],Storage,754,59,1010.356201171875,0.044921875,1,36.735416666666666
2023-08-15 12:44:05.449, [INFO],failed
