"Timeinfo","Level","Message","Light","Pressure","Disp Pressure","Light Counter","Pressure Counter"
2023-09-03 17:15:29.799, [INFO],HOLD,0.0199448,0.067,-0.02,35.792641,139.89051
2023-09-03 17:15:30.305, [INFO],HOLD,0.0299171,0.064,-0.024,35.79264,139.89051
2023-09-03 17:15:30.807, [INFO],HOLD,0.0199448,0.072,-0.015,35.79264,139.89051
2023-09-03 17:15:31.310, [INFO],HOLD,0.0199449,0.084,-0.004,35.79264,139.89051
2023-09-03 17:15:31.814, [INFO],HOLD,0.0199448,0.093,0.005,35.79264,139.89051
2023-09-03 17:15:32.316, [INFO],HOLD,0.0199447,0.093,0.004,35.79264,139.89051
2023-09-03 17:15:32.818, [INFO],HOLD,0.0199447,0.095,0.006,35.792639,139.89051
2023-09-03 17:15:33.319, [INFO],HOLD,0.0199447,0.092,0.003,35.792639,139.89051
2023-09-03 17:15:33.823, [INFO],HOLD,0.0299171,0.098,0.01,35.792639,139.89051
2023-09-03 17:15:34.326, [INFO],HOLD,0.0199447,0.103,0.015,35.792639,139.89051
2023-09-03 17:15:34.830, [INFO],HOLD,0.029917,0.0,0.024,35.792639,139.89051
2023-09-03 17:15:35.332, [INFO],HOLD,0.0199443,0.005,0.03,35.792638,139.89051
2023-09-03 17:15:35.835, [INFO],HOLD,0.0199443,0.012,0.036,35.792638,139.89051
2023-09-03 17:15:36.337, [INFO],HOLD,0.0199442,0.016,0.04,35.792638,139.89051
2023-09-03 17:15:36.839, [INFO],HOLD,0.029916,0.016,0.041,35.792638,139.89051
2023-09-03 17:15:37.341, [INFO],HOLD,0.0299161,0.02,0.044,35.792637,139.89051
2023-09-03 17:15:37.845, [INFO],HOLD,0.0199439,0.021,0.045,35.792637,139.89051
2023-09-03 17:15:38.347, [INFO],HOLD,0.0199439,0.023,0.048,35.792637,139.89051
2023-09-03 17:15:38.849, [INFO],HOLD,0.0199439,0.025,0.049,35.792637,139.89051
2023-09-03 17:15:39.352, [INFO],HOLD,0.019944,0.021,0.046,35.792637,139.89051
2023-09-03 17:15:39.855, [INFO],HOLD,0.019944,0.022,0.047,35.792637,139.89051
2023-09-03 17:15:40.361, [INFO],HOLD,0.0199441,0.026,0.05,35.792636,139.89051
2023-09-03 17:15:40.864, [INFO],HOLD,0.0199441,0.025,0.05,35.792636,139.89051
2023-09-03 17:15:41.366, [INFO],HOLD,0.0199441,0.047,0.071,35.792636,139.89051
