"Timeinfo","Level","Message","Distance","Relative Altitude","Absolute Altitude","Latitude","Longitude"
2023-09-03 18:19:37.112, [INFO],Pixhawk initialized
2023-09-03 18:19:37.394, [INFO],Camera initialized
2023-09-03 18:19:37.560, [INFO],['/dev/ttyACM0']
2023-09-03 18:19:37.562, [INFO],system_address: /dev/ttyACMO
2023-09-03 18:19:37.563, [INFO],Waiting for drone to connect...
2023-09-03 18:19:37.685, [INFO],Connected Drone!
2023-09-03 18:19:37.687, [INFO],Waiting for drone to have a global position estimate...
2023-09-03 18:19:38.633, [INFO],-- Global position estimate OK
2023-09-03 18:19:38.638, [INFO],waiting for pixhawk to hold
2023-09-03 18:19:39.635, [INFO],--Holding
2023-09-03 18:19:40.633, [INFO],-- Hold
2023-09-03 18:19:49.684, [INFO],0.0,-1.0,0.0,0.0,0.0,0.0
2023-09-03 18:19:50.193, [INFO],0.0,0.0299626,-0.582,-1.331,35.792653,139.89042
2023-09-03 18:19:50.695, [INFO],HOLD,0.0199753,-0.587,-1.336,35.792653,139.89042
2023-09-03 18:19:51.197, [INFO],HOLD,0.0299629,-0.598,-1.347,35.792653,139.89042
2023-09-03 18:19:51.701, [INFO],HOLD,0.0299629,-0.605,-1.354,35.792653,139.89042
2023-09-03 18:19:52.204, [INFO],HOLD,0.0299632,-0.614,-1.363,35.792653,139.89042
2023-09-03 18:19:52.708, [INFO],HOLD,0.0199753,-0.616,-1.365,35.792653,139.89042
2023-09-03 18:19:53.215, [INFO],HOLD,0.0299632,-0.624,-1.373,35.792653,139.89042
2023-09-03 18:19:53.687, [INFO],--Clear mission
2023-09-03 18:19:53.708, [INFO],-- Uploading mission
2023-09-03 18:19:53.719, [INFO],HOLD,0.0199754,-0.634,-1.383,35.792653,139.89042
2023-09-03 18:19:53.735, [INFO],waiting for pixhawk to hold
2023-09-03 18:19:54.225, [INFO],HOLD,0.0199752,-0.648,-1.397,35.792653,139.89042
2023-09-03 18:19:54.632, [INFO],-- Hold
2023-09-03 18:19:55.635, [INFO],waiting for pixhawk to arm
2023-09-03 18:19:55.645, [INFO],HOLD,0.0199752,-0.65,-1.399,35.792653,139.89042
2023-09-03 18:19:56.149, [INFO],HOLD,0.0199755,-0.657,-1.406,35.792653,139.89042
2023-09-03 18:19:56.633, [INFO],--Arming
2023-09-03 18:19:56.651, [INFO],HOLD,0.0199755,-0.666,-1.415,35.792654,139.89042
2023-09-03 18:19:57.154, [INFO],HOLD,0.0199742,-0.004,-1.421,35.792654,139.89042
2023-09-03 18:19:57.632, [INFO],-- Arm
2023-09-03 18:19:58.639, [INFO],HOLD,0.0199753,0.001,-1.414,35.792654,139.89042
2023-09-03 18:19:59.142, [INFO],HOLD,0.0199748,0.002,-1.413,35.792653,139.89042
2023-09-03 18:19:59.645, [INFO],HOLD,0.0199781,0.006,-1.41,35.792653,139.89042
2023-09-03 18:20:00.148, [INFO],HOLD,0.0199772,0.019,-1.397,35.792653,139.89042
2023-09-03 18:20:00.651, [INFO],HOLD,0.0199762,0.035,-1.38,35.792653,139.89042
2023-09-03 18:20:01.154, [INFO],HOLD,0.0199745,0.035,-1.38,35.792653,139.89042
2023-09-03 18:20:01.657, [INFO],HOLD,0.0199752,0.036,-1.379,35.792653,139.89042
2023-09-03 18:20:02.160, [INFO],HOLD,0.0299625,0.037,-1.379,35.792653,139.89042
2023-09-03 18:20:02.664, [INFO],HOLD,0.0199734,0.045,-1.37,35.792652,139.89042
2023-09-03 18:20:03.169, [INFO],HOLD,0.0199752,0.048,-1.367,35.792652,139.89042
2023-09-03 18:20:03.636, [INFO],--Start mission
2023-09-03 18:20:03.673, [INFO],HOLD,0.019977,0.041,-1.374,35.792652,139.89042
2023-09-03 18:20:04.176, [INFO],HOLD,0.0299662,0.002,-1.37,35.792652,139.89042
2023-09-03 18:20:04.680, [INFO],HOLD,0.0299675,0.011,-1.36,35.792652,139.89042
2023-09-03 18:20:05.182, [INFO],HOLD,0.0299647,0.022,-1.35,35.792652,139.89042
2023-09-03 18:20:05.685, [INFO],HOLD,0.0299657,0.021,-1.351,35.792651,139.89042
2023-09-03 18:20:06.190, [INFO],HOLD,0.0199773,0.016,-1.356,35.792651,139.89042
2023-09-03 18:20:06.695, [INFO],HOLD,0.0199774,0.01,-1.362,35.792651,139.89042
2023-09-03 18:20:07.197, [INFO],HOLD,0.0299663,0.011,-1.361,35.792651,139.89042
2023-09-03 18:20:07.700, [INFO],HOLD,0.0299663,0.006,-1.365,35.792651,139.89042
2023-09-03 18:20:08.202, [INFO],HOLD,0.0199776,0.003,-1.368,35.792651,139.89042
2023-09-03 18:20:08.704, [INFO],HOLD,0.0199777,0.001,-1.37,35.792651,139.89042
2023-09-03 18:20:09.209, [INFO],HOLD,0.0199778,-0.002,-1.375,35.79265,139.89042
2023-09-03 18:20:09.712, [INFO],HOLD,0.0299669,-0.007,-1.38,35.79265,139.89042
2023-09-03 18:20:10.216, [INFO],HOLD,0.0299669,-0.012,-1.384,35.79265,139.89042
2023-09-03 18:20:10.719, [INFO],HOLD,0.0299671,-0.022,-1.394,35.79265,139.89042
2023-09-03 18:20:11.223, [INFO],HOLD,0.0199781,-0.03,-1.403,35.79265,139.89042
2023-09-03 18:20:11.727, [INFO],HOLD,0.019978,-0.043,-1.415,35.79265,139.89042
2023-09-03 18:20:12.229, [INFO],HOLD,0.0299669,-0.054,-1.427,35.79265,139.89042
2023-09-03 18:20:12.732, [INFO],HOLD,0.0199779,-0.064,-1.437,35.79265,139.89042
2023-09-03 18:20:13.234, [INFO],HOLD,0.0299666,-0.069,-1.441,35.792649,139.89042
2023-09-03 18:20:13.737, [INFO],HOLD,0.0199777,-0.074,-1.447,35.792649,139.89042
2023-09-03 18:20:14.239, [INFO],HOLD,0.0299664,-0.077,-1.45,35.792649,139.89042
2023-09-03 18:20:14.741, [INFO],HOLD,0.0199775,-0.079,-1.451,35.792649,139.89042
2023-09-03 18:20:15.244, [INFO],HOLD,0.0299663,-0.071,-1.443,35.792649,139.89042
2023-09-03 18:20:15.747, [INFO],HOLD,0.0299663,-0.074,-1.447,35.792649,139.89042
2023-09-03 18:20:16.251, [INFO],HOLD,0.0299661,-0.076,-1.448,35.792649,139.89042
2023-09-03 18:20:16.755, [INFO],HOLD,0.0199774,-0.069,-1.442,35.792649,139.89042
2023-09-03 18:20:17.258, [INFO],HOLD,0.0199773,-0.067,-1.44,35.792649,139.89042
2023-09-03 18:20:17.762, [INFO],HOLD,0.0199773,-0.072,-1.445,35.792649,139.89042
2023-09-03 18:20:18.267, [INFO],HOLD,0.019977,-0.081,-1.453,35.792649,139.89042
2023-09-03 18:20:18.770, [INFO],HOLD,0.029966,-0.08,-1.452,35.792649,139.89042
2023-09-03 18:20:19.272, [INFO],HOLD,0.0199771,-0.073,-1.446,35.792648,139.89042
2023-09-03 18:20:19.775, [INFO],HOLD,0.0199772,-0.07,-1.442,35.792648,139.89042
2023-09-03 18:20:20.277, [INFO],HOLD,0.0299658,-0.077,-1.449,35.792648,139.89042
2023-09-03 18:20:20.780, [INFO],HOLD,0.0199772,-0.085,-1.458,35.792648,139.89042
2023-09-03 18:20:21.286, [INFO],HOLD,0.0199771,-0.106,-1.479,35.792648,139.89042
2023-09-03 18:20:21.789, [INFO],HOLD,0.0199772,-0.116,-1.489,35.792648,139.89042
