"Timeinfo","Level","Message","Distance","Relative Altitude","Absolute Altitude","Latitude","Longitude"
2023-09-03 09:54:45.665, [INFO],Pixhawk initialized
2023-09-03 09:54:45.667, [INFO],Case program initialized
2023-09-03 09:54:53.692, [INFO],Outside,0,0,0,0,0
2023-09-03 09:54:54.313, [INFO],Still Outside
2023-09-03 09:54:54.698, [INFO],Outside,774,0,0,0,0
2023-09-03 09:54:54.876, [INFO],Still Outside
2023-09-03 09:54:55.440, [INFO],Still Outside
2023-09-03 09:54:55.700, [INFO],Outside,777,0,0,0,0
2023-09-03 09:54:56.3  , [INFO],Still Outside
2023-09-03 09:54:56.566, [INFO],Still Outside
2023-09-03 09:54:56.703, [INFO],Outside,777,0,0,0,0
2023-09-03 09:54:57.129, [INFO],Still Outside
2023-09-03 09:54:57.691, [INFO],Still Outside
2023-09-03 09:54:57.706, [INFO],Outside,777,0,0,0,0
2023-09-03 09:54:58.254, [INFO],Still Outside
2023-09-03 09:54:58.709, [INFO],Outside,776,0,0,0,0
2023-09-03 09:54:58.816, [INFO],Still Outside
2023-09-03 09:54:59.711, [INFO],Outside,129,0,0,1,0
2023-09-03 09:55:00.715, [INFO],Outside,122,0,0,3,0
2023-09-03 09:55:01.717, [INFO],Outside,107,0,0,5,0
2023-09-03 09:55:02.720, [INFO],Outside,101,0,0,6,0
2023-09-03 09:55:03.723, [INFO],Outside,98,0,0,8,0
2023-09-03 09:55:04.726, [INFO],Outside,99,0,0,10,0
2023-09-03 09:55:04.930, [INFO],Storage Succeeded
2023-09-03 09:55:04.993, [INFO],Light still low
2023-09-03 09:55:05.733, [INFO],Storage,98,1014.409423828125,0,0,0
2023-09-03 09:55:06.736, [INFO],Storage,98,1014.409423828125,0,0,0
2023-09-03 09:55:07.739, [INFO],Storage,98,1014.409423828125,0,0,0
2023-09-03 09:55:08.741, [INFO],Storage,98,1014.409423828125,0,0,0
2023-09-03 09:55:09.744, [INFO],Storage,98,1014.409423828125,0,0,0
2023-09-03 09:55:10.751, [INFO],Storage,98,1014.409423828125,0,0,0
2023-09-03 09:55:11.753, [INFO],Storage,98,1014.409423828125,0,0,0
2023-09-03 09:55:12.756, [INFO],Storage,98,1014.409423828125,0,0,0
2023-09-03 09:55:13.759, [INFO],Storage,98,1014.409423828125,0,0,0
2023-09-03 09:55:14.762, [INFO],Storage,98,1014.409423828125,0,0,0
2023-09-03 09:55:15.769, [INFO],Storage,98,1014.404541015625,0,0,0
2023-09-03 09:55:16.498, [INFO],Release Succeeded
2023-09-03 09:55:16.771, [INFO],Released,734,1014.39794921875,50.88720703125,1,0
2023-09-03 09:55:17.774, [INFO],Released,734,1014.411376953125,50.88720703125,1,0
2023-09-03 09:55:18.777, [INFO],Released,734,1014.46728515625,0.032910156249954525,1,1
2023-09-03 09:55:19.779, [INFO],Released,734,1014.37158203125,0.032910156249954525,1,1
2023-09-03 09:55:20.786, [INFO],Released,734,1014.43505859375,0.032910156249954525,1,1
2023-09-03 09:55:21.788, [INFO],Released,734,1014.37109375,0.008935546875022737,1,2
2023-09-03 09:55:22.791, [INFO],Released,734,1014.362548828125,0.008935546875022737,1,2
2023-09-03 09:55:23.794, [INFO],Released,734,1014.362548828125,0.008935546875022737,1,2
2023-09-03 09:55:24.797, [INFO],Released,734,1014.357666015625,0.015429687499931788,1,3
2023-09-03 09:55:25.807, [INFO],Released,734,1014.414794921875,0.015429687499931788,1,3
2023-09-03 09:55:26.809, [INFO],Released,734,1014.414794921875,0.015429687499931788,1,3
2023-09-03 09:55:27.812, [INFO],Released,734,1014.38671875,0.0010253906250454747,1,4
2023-09-03 09:55:28.241, [INFO],Landing Succeeded
2023-09-03 09:55:28.242, [INFO],Cut case nichrome High
2023-09-03 09:55:28.815, [INFO],Land,734,1014.38671875,0.0010253906250454747,1,4
2023-09-03 09:55:29.818, [INFO],Land,734,1014.38671875,0.0010253906250454747,1,4
2023-09-03 09:55:30.825, [INFO],Land,734,1014.38671875,0.0010253906250454747,1,4
