"Timeinfo","Level","Message","Light","Light Counter","Pressure","Disp Pressure","Pressure Counter","Temperature","Disp Pressure 5sec"
2023-08-17 17:49:58.872, [INFO],Case program initialized
2023-08-17 17:50:10.902, [INFO],Outside,0,0,0,0,0,0,0
2023-08-17 17:50:11.431, [INFO],Now Outside
2023-08-17 17:50:11.909, [INFO],Outside,580,0,0,0,0,0,0
2023-08-17 17:50:11.964, [INFO],Now Outside
2023-08-17 17:50:12.912, [INFO],Outside,462,1,0,0,0,0,0
2023-08-17 17:50:13.914, [INFO],Outside,353,3,0,0,0,0,0
2023-08-17 17:50:14.917, [INFO],Outside,326,5,0,0,0,0,0
2023-08-17 17:50:15.919, [INFO],Outside,253,7,0,0,0,0,0
2023-08-17 17:50:16.924, [INFO],Outside,223,9,0,0,0,0,0
2023-08-17 17:50:17.926, [INFO],Outside,244,11,0,0,0,0,0
2023-08-17 17:50:18.929, [INFO],Outside,238,13,0,0,0,0,0
2023-08-17 17:50:19.932, [INFO],Outside,221,15,0,0,0,0,0
2023-08-17 17:50:20.934, [INFO],Outside,214,16,0,0,0,0,0
2023-08-17 17:50:20.992, [INFO],Storage Succeeded
2023-08-17 17:50:21.939, [INFO],Storage,231,0,1006.577392578125,0,0,37.90208333333334,0
2023-08-17 17:50:22.942, [INFO],Storage,231,0,1006.58251953125,0.003255208333371229,1,37.92916666666667,0
2023-08-17 17:50:23.944, [INFO],Storage,231,0,1006.58251953125,0.003255208333371229,1,37.92916666666667,0
2023-08-17 17:50:24.178, [INFO],failed
2023-08-17 17:50:24.947, [INFO],Storage,224,0,1006.57568359375,-0.03108723958337123,0,37.93125,0
2023-08-17 17:50:25.949, [INFO],Storage,236,0,1006.55908203125,0.01717122395837123,1,37.93125,0
2023-08-17 17:50:26.955, [INFO],Storage,236,0,1006.55908203125,0.01717122395837123,1,37.94375,0
2023-08-17 17:50:27.365, [INFO],failed
2023-08-17 17:50:27.957, [INFO],Storage,241,0,1006.569580078125,-0.022705078125,0,37.9375,-0.02018229166662877
2023-08-17 17:50:28.960, [INFO],Storage,241,0,1006.621337890625,-0.022705078125,0,37.93333333333334,-0.02018229166662877
2023-08-17 17:50:29.964, [INFO],Storage,271,0,1006.6044921875,0.02571614583337123,1,37.947916666666664,0.04459635416662877
2023-08-17 17:50:30.556, [INFO],failed
2023-08-17 17:50:30.966, [INFO],Storage,325,0,1006.576904296875,-0.016357421875,0,37.95,-0.02840169270837123
2023-08-17 17:50:31.971, [INFO],Storage,325,0,1006.515869140625,-0.016357421875,0,37.916666666666664,-0.02840169270837123
2023-08-17 17:50:32.974, [INFO],Storage,332,0,1006.577880859375,0.01123046875,1,37.95,0.022216796875
2023-08-17 17:50:33.744, [INFO],failed
2023-08-17 17:50:33.977, [INFO],Storage,782,1,1006.546142578125,-0.0068359375,0,37.947916666666664,-0.020589192708257542
2023-08-17 17:50:34.980, [INFO],Storage,782,1,1006.546142578125,-0.0068359375,0,37.958333333333336,-0.020589192708257542
2023-08-17 17:50:35.338, [INFO],failed
2023-08-17 17:50:35.983, [INFO],Storage,724,2,1006.58447265625,-0.01708984375,0,37.958333333333336,-0.004150390625
2023-08-17 17:50:36.933, [INFO],failed
2023-08-17 17:50:36.990, [INFO],Storage,819,3,1006.59423828125,-0.003011067708371229,0,37.95,0.02433268229162877
2023-08-17 17:50:37.993, [INFO],Storage,819,3,1006.589599609375,-0.003011067708371229,0,37.9625,0.02433268229162877
2023-08-17 17:50:38.528, [INFO],failed
