"Timeinfo","Level","Message","Distance","Relative Altitude","Absolute Altitude","Latitude","Longitude"
2023-09-12 07:49:12.413, [INFO],Camera initialized
2023-09-12 07:49:12.419, [INFO],Pixhawk initialized
2023-09-12 07:49:12.447, [INFO],['/dev/ttyACM0', '/dev/ttyAMA0']
2023-09-12 07:49:12.448, [INFO],system_address: /dev/ttyACMO
2023-09-12 07:49:12.449, [INFO],Waiting for drone to connect...
2023-09-12 07:49:12.615, [INFO],Connected Drone!
2023-09-12 07:49:12.616, [INFO],Waiting for drone to have a global position estimate...
2023-09-12 07:49:13.529, [INFO],-- Global position estimate OK
2023-09-12 07:49:13.530, [INFO],waiting for pixhawk to hold
2023-09-12 07:49:13.531, [INFO],--Holding
2023-09-12 07:49:21.587, [INFO],0.0,-1.0,0.0,0.0,0.0,0.0
2023-09-12 07:49:22.91 , [INFO],0.0,0.0299626,-0.016,1188.333,40.868894,-119.1052
2023-09-12 07:49:22.596, [INFO],HOLD,0.0299626,-0.02,1188.3291,40.868894,-119.1052
2023-09-12 07:49:23.98 , [INFO],HOLD,0.0299627,-0.035,1188.315,40.868894,-119.1052
2023-09-12 07:49:23.603, [INFO],HOLD,0.0299627,-0.047,1188.3031,40.868894,-119.1052
2023-09-12 07:49:24.106, [INFO],HOLD,0.0299629,-0.051,1188.299,40.868894,-119.1052
2023-09-12 07:49:24.566, [INFO],--locate positon
2023-09-12 07:49:24.608, [INFO],HOLD,0.0299629,-0.05,1188.3,40.868894,-119.1052
2023-09-12 07:49:25.110, [INFO],HOLD,0.029963,-0.056,1188.294,40.868894,-119.1052
2023-09-12 07:49:25.589, [INFO],locate [  40.86889502 -119.10524632 1188.29545898]
2023-09-12 07:49:25.592, [INFO],waiting for pixhawk to arm
2023-09-12 07:49:25.614, [INFO],HOLD,0.0299631,-0.059,1188.29,40.868895,-119.1052
2023-09-12 07:49:26.118, [INFO],HOLD,0.0299631,-0.068,1188.2821,40.868895,-119.1052
2023-09-12 07:49:26.531, [INFO],--Arming
2023-09-12 07:49:26.550, [INFO],StatusText: [type: CRITICAL, text: Warning! Missing FMU SD Card.]
2023-09-12 07:49:26.624, [INFO],HOLD,0.0299633,-0.065999,1188.283,40.868895,-119.1052
2023-09-12 07:49:26.717, [INFO],StatusText: [type: INFO, text: Armed by external command	]
2023-09-12 07:49:26.766, [INFO],StatusText: [type: INFO, text: [logger] /fs/microsd/log/2023-09-11/22_49_26.ulg	]
2023-09-12 07:49:27.127, [INFO],HOLD,0.039946,0.009,1188.293,40.868895,-119.1052
2023-09-12 07:49:27.529, [INFO],-- Arm
2023-09-12 07:49:27.630, [INFO],HOLD,0.0299641,0.02,1188.304,40.868895,-119.1052
2023-09-12 07:49:28.136, [INFO],HOLD,0.0299629,0.028,1188.312,40.868895,-119.1052
2023-09-12 07:49:28.546, [INFO],--Taking off
2023-09-12 07:49:28.566, [INFO],StatusText: [type: INFO, text: Using minimum takeoff altitude: 13.00 m	]
2023-09-12 07:49:28.639, [INFO],HOLD,0.0299637,0.035,1188.319,40.868895,-119.1052
2023-09-12 07:49:29.141, [INFO],HOLD,0.0299645,0.045,1188.3291,40.868895,-119.1052
2023-09-12 07:49:29.556, [INFO],StatusText: [type: INFO, text: Takeoff detected	]
2023-09-12 07:49:29.644, [INFO],TAKEOFF,0.0299652,0.0,1188.335,40.868895,-119.1052
2023-09-12 07:49:30.149, [INFO],TAKEOFF,0.0199779,0.016,1188.351,40.868895,-119.1052
2023-09-12 07:49:30.652, [INFO],TAKEOFF,0.01999,0.034,1188.3701,40.868895,-119.1052
2023-09-12 07:49:31.156, [INFO],TAKEOFF,0.0198994,0.051,1188.3861,40.868896,-119.1052
2023-09-12 07:49:31.660, [INFO],TAKEOFF,0.0290719,0.082,1188.4171,40.868896,-119.1052
2023-09-12 07:49:32.168, [INFO],TAKEOFF,0.1390777,0.197,1188.533,40.868896,-119.1052
2023-09-12 07:49:32.672, [INFO],TAKEOFF,0.5093029,0.525,1188.8601,40.868895,-119.1052
2023-09-12 07:49:33.177, [INFO],TAKEOFF,1.0092552,0.982,1189.3181,40.868895,-119.1052
2023-09-12 07:49:33.680, [INFO],TAKEOFF,1.627281,1.576,1189.9121,40.868894,-119.1052
2023-09-12 07:49:34.183, [INFO],TAKEOFF,2.2441288,2.1980001,1190.533,40.868894,-119.1052
2023-09-12 07:49:34.685, [INFO],TAKEOFF,2.8370611,2.8100001,1191.1459,40.868896,-119.1052
2023-09-12 07:49:35.189, [INFO],TAKEOFF,3.4965241,3.4480001,1191.784,40.868897,-119.1052
2023-09-12 07:49:35.692, [INFO],TAKEOFF,4.1963047,4.1070003,1192.4431,40.868897,-119.1052
2023-09-12 07:49:36.195, [INFO],TAKEOFF,4.910956,4.8000001,1193.135,40.868897,-119.1052
2023-09-12 07:49:36.700, [INFO],TAKEOFF,5.5706567,5.5280003,1193.863,40.868897,-119.1052
2023-09-12 07:49:37.204, [INFO],TAKEOFF,6.3256294,6.2570004,1194.592,40.868897,-119.1052
2023-09-12 07:49:37.710, [INFO],TAKEOFF,6.9557243,6.9830002,1195.3181,40.868897,-119.1052
2023-09-12 07:49:38.213, [INFO],TAKEOFF,7.6440697,7.6920003,1196.027,40.868897,-119.1052
2023-09-12 07:49:38.422, [INFO],--Holding
2023-09-12 07:49:38.441, [INFO],--Go to lat: 40.8690063 lng:-119.10497032999997 alt:1196.295458984375 yaw:0
2023-09-12 07:49:38.719, [INFO],HOLD,8.3029935,8.4030008,1196.738,40.868897,-119.1052
2023-09-12 07:49:39.223, [INFO],HOLD,8.7780594,9.0310001,1197.367,40.868898,-119.1052
2023-09-12 07:49:39.728, [INFO],HOLD,8.8367043,9.2770004,1197.613,40.868902,-119.1052
