"Timeinfo","Level","Message","Light","Pressure","Disp Pressure","Light Counter","Pressure Counter"
2023-09-01 17:59:10.892, [INFO],Pixhawk initialized
2023-09-01 17:59:11.12 , [INFO],Camera initialized
2023-09-01 17:59:11.41 , [INFO],['/dev/ttyACM0', '/dev/ttyAMA0']
2023-09-01 17:59:11.43 , [INFO],system_address: /dev/ttyACMO
2023-09-01 17:59:11.44 , [INFO],Waiting for drone to connect...
2023-09-01 17:59:12.480, [INFO],Connected Drone!
2023-09-01 17:59:12.482, [INFO],Waiting for drone to have a global position estimate...
2023-09-01 17:59:14.497, [INFO],-- Global position estimate OK
2023-09-01 17:59:14.498, [INFO],waiting for pixhawk to hold
2023-09-01 17:59:15.498, [INFO],--Holding
2023-09-01 17:59:16.497, [INFO],-- Hold
2023-09-01 17:59:25.524, [INFO],0.0,-1.0,0.0,0.0,0.0,0.0
2023-09-01 17:59:26.27 , [INFO],0.0,0.0299336,0.017,5.8900003,35.796836,139.89189
2023-09-01 17:59:26.530, [INFO],HOLD,0.0299338,0.016,5.8880004,35.796837,139.89189
2023-09-01 17:59:27.31 , [INFO],HOLD,0.0299341,0.017,5.8900003,35.796838,139.89189
2023-09-01 17:59:27.536, [INFO],HOLD,0.0299341,0.007,5.8800001,35.796838,139.89189
2023-09-01 17:59:28.40 , [INFO],HOLD,0.0299343,-0.011,5.861,35.796839,139.89189
2023-09-01 17:59:28.542, [INFO],HOLD,0.0199563,-0.019,5.8520002,35.79684,139.89189
2023-09-01 17:59:29.44 , [INFO],HOLD,0.0299346,-0.021,5.8500003,35.79684,139.89189
2023-09-01 17:59:29.538, [INFO],--Clear mission
2023-09-01 17:59:29.547, [INFO],HOLD,0.0199565,-0.006,5.8400001,35.796841,139.89189
2023-09-01 17:59:29.564, [INFO],-- Uploading mission
2023-09-01 17:59:29.599, [INFO],waiting for pixhawk to hold
2023-09-01 17:59:30.49 , [INFO],HOLD,0.0199567,-0.001,5.8440003,35.796841,139.89189
2023-09-01 17:59:30.495, [INFO],-- Hold
2023-09-01 17:59:31.500, [INFO],waiting for pixhawk to arm
2023-09-01 17:59:31.513, [INFO],HOLD,0.0299348,0.022,5.8680005,35.796842,139.89189
2023-09-01 17:59:32.17 , [INFO],HOLD,0.0299351,0.012,5.8590002,35.796844,139.89189
2023-09-01 17:59:32.496, [INFO],--Arming
2023-09-01 17:59:32.522, [INFO],HOLD,0.0299357,0.001,5.8470001,35.796844,139.89188
2023-09-01 17:59:33.26 , [INFO],HOLD,0.0299334,0.003,5.8510003,35.796845,139.89188
2023-09-01 17:59:33.496, [INFO],-- Arm
2023-09-01 17:59:34.501, [INFO],HOLD,0.0299352,-0.011,5.8360004,35.796845,139.89188
2023-09-01 17:59:35.10 , [INFO],HOLD,0.0299397,0.023,5.8580002,35.796847,139.89188
2023-09-01 17:59:35.514, [INFO],HOLD,0.0299405,0.053,5.8880004,35.796847,139.89188
2023-09-01 17:59:36.17 , [INFO],HOLD,0.0299354,0.088,5.9230003,35.796848,139.89188
2023-09-01 17:59:36.519, [INFO],HOLD,0.0299358,0.089,5.9230003,35.796848,139.89188
2023-09-01 17:59:37.23 , [INFO],HOLD,0.029936,0.089,5.9240002,35.796849,139.89188
2023-09-01 17:59:37.527, [INFO],HOLD,0.0299352,0.087,5.9220004,35.796849,139.89188
2023-09-01 17:59:38.28 , [INFO],HOLD,0.0299354,0.071,5.9060001,35.79685,139.89188
2023-09-01 17:59:38.531, [INFO],HOLD,0.0299355,0.05,5.8850002,35.79685,139.89188
2023-09-01 17:59:39.34 , [INFO],HOLD,0.0299356,0.024,5.8590002,35.79685,139.89188
2023-09-01 17:59:39.499, [INFO],--Start mission
2023-09-01 17:59:39.537, [INFO],HOLD,0.0299356,-0.002,5.8320002,35.796851,139.89188
2023-09-01 17:59:40.40 , [INFO],HOLD,0.0299362,-0.019,5.815,35.796851,139.89188
2023-09-01 17:59:40.543, [INFO],HOLD,0.0299365,0.0,5.8220005,35.796851,139.89188
2023-09-01 17:59:41.45 , [INFO],HOLD,0.0299371,0.005,5.8270001,35.796852,139.89188
2023-09-01 17:59:41.548, [INFO],HOLD,0.0299377,0.027,5.848,35.796852,139.89188
2023-09-01 17:59:42.53 , [INFO],HOLD,0.0299379,0.02,5.841,35.796853,139.89188
2023-09-01 17:59:42.555, [INFO],HOLD,0.0299386,0.025,5.8470001,35.796853,139.89188
2023-09-01 17:59:43.58 , [INFO],HOLD,0.029939,0.052,5.874,35.796853,139.89188
2023-09-01 17:59:43.560, [INFO],HOLD,0.0299386,0.05,5.8720002,35.796854,139.89188
2023-09-01 17:59:44.64 , [INFO],HOLD,0.0299386,0.0329999,5.8550004,35.796854,139.89188
2023-09-01 17:59:44.566, [INFO],HOLD,0.0299389,0.017,5.8380002,35.796854,139.89188
2023-09-01 17:59:45.70 , [INFO],HOLD,0.0299389,-0.005,5.8160004,35.796855,139.89188
2023-09-01 17:59:45.572, [INFO],HOLD,0.0299391,-0.018,5.802,35.796855,139.89188
2023-09-01 17:59:46.76 , [INFO],HOLD,0.0299392,-0.022,5.7990002,35.796856,139.89188
2023-09-01 17:59:46.578, [INFO],HOLD,0.0299391,-0.024,5.7970004,35.796856,139.89188
2023-09-01 17:59:47.81 , [INFO],HOLD,0.0299392,0.005,5.8260002,35.796856,139.89188
2023-09-01 17:59:47.584, [INFO],HOLD,0.0299391,0.0,5.8220005,35.796857,139.89188
2023-09-01 17:59:48.86 , [INFO],HOLD,0.0299395,0.0,5.821,35.796857,139.89188
2023-09-01 17:59:48.588, [INFO],HOLD,0.0299392,-0.016,5.8040003,35.796857,139.89188
2023-09-01 17:59:49.92 , [INFO],HOLD,0.0299393,-0.026,5.795,35.796858,139.89188
2023-09-01 17:59:49.593, [INFO],HOLD,0.0299393,-0.024,5.7700004,35.796858,139.89188
2023-09-01 17:59:50.97 , [INFO],HOLD,0.0299391,-0.049,5.7450003,35.796858,139.89188
2023-09-01 17:59:50.599, [INFO],HOLD,0.0299392,-0.07,5.723,35.796858,139.89188
2023-09-01 17:59:51.103, [INFO],HOLD,0.0299392,-0.083,5.71,35.796858,139.89188
2023-09-01 17:59:51.606, [INFO],HOLD,0.0299394,-0.094,5.7000002,35.796859,139.89188
2023-09-01 17:59:52.110, [INFO],HOLD,0.0299395,-0.079,5.7140002,35.796859,139.89188
