"Timeinfo","Level","Message","Light","Light Counter","Pressure","Disp Pressure","Pressure Counter","Temperature"
2023-07-07 18:10:59.655, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:10:59.656, [INFO],Cut case
2023-07-07 18:11:00.658, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:11:01.661, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:11:02.663, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:11:03.665, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:11:04.668, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:11:05.670, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:11:06.665, [INFO],Begin expantion
2023-07-07 18:11:06.672, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:11:07.166, [INFO],Expanded
2023-07-07 18:11:07.674, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:11:08.676, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:11:09.678, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:11:10.170, [INFO],Cut case
2023-07-07 18:11:10.680, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:11:11.682, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:11:12.685, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:11:13.687, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:11:14.689, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:11:15.691, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:11:16.693, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:11:17.179, [INFO],Begin expantion
2023-07-07 18:11:17.680, [INFO],Expanded
2023-07-07 18:11:17.696, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:11:18.698, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:11:19.700, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:11:20.702, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:11:21.704, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:11:22.706, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:11:23.709, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:11:24.711, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:11:25.713, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:11:26.715, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:11:27.717, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:11:28.720, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:11:29.722, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:11:30.724, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:11:31.726, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:11:32.728, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:11:33.731, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:11:34.733, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:11:35.735, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:11:36.737, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:11:37.739, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:11:38.741, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:11:39.744, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:11:40.746, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:11:41.748, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:11:42.750, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:11:43.752, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:11:44.755, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:11:45.757, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:11:46.759, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:11:47.761, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:11:48.763, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:11:49.766, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:11:50.768, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:11:51.770, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:11:52.772, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:11:53.774, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:11:54.776, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:11:55.779, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:11:56.781, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:11:57.783, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:11:58.785, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:11:59.787, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:12:00.790, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:12:01.792, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:12:02.794, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:12:03.796, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:12:04.798, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:12:05.801, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:12:06.803, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:12:07.805, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:12:08.809, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:12:09.811, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:12:10.813, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:12:11.816, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:12:12.818, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:12:13.820, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:12:14.822, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:12:15.824, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:12:16.827, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:12:17.829, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:12:18.831, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:12:19.833, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:12:20.836, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:12:21.838, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:12:22.840, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:12:23.842, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:12:24.845, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:12:25.847, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:12:26.849, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:12:27.851, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:12:28.854, [INFO],Outside,0,0,0,0,0,0
