"Timeinfo","Level","Message","Light","Light Counter","Pressure","Disp Pressure","Pressure Counter","Temperature"
2023-07-07 18:22:25.236, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:22:25.238, [INFO],Cut case
2023-07-07 18:22:26.239, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:22:27.242, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:22:28.244, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:22:29.246, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:22:30.249, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:22:31.251, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:22:32.246, [INFO],Begin expantion
2023-07-07 18:22:32.253, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:22:32.748, [INFO],Expanded
2023-07-07 18:22:33.254, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:22:34.256, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:22:35.258, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:22:35.752, [INFO],Cut case
2023-07-07 18:22:36.261, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:22:37.263, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:22:38.265, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:22:39.267, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:22:40.269, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:22:41.271, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:22:42.273, [INFO],Outside,0,0,0,0,0,0
2023-07-07 18:22:42.760, [INFO],Begin expantion
