"Timeinfo","Level","Message","Light","Pressure","Disp Pressure","Light Counter","Pressure Counter"
2023-09-09 11:27:40.457, [INFO],Judge Storage:L0,863,0,0,0,0
2023-09-09 11:27:40.534, [INFO],Still Outside
2023-09-09 11:27:41.97 , [INFO],Still Outside
2023-09-09 11:27:41.461, [INFO],Judge Storage:L0,866,0,0,0,0
2023-09-09 11:27:41.661, [INFO],Still Outside
2023-09-09 11:27:42.225, [INFO],Still Outside
2023-09-09 11:27:42.463, [INFO],Judge Storage:L0,847,0,0,0,0
2023-09-09 11:27:42.789, [INFO],Still Outside
2023-09-09 11:27:43.353, [INFO],Still Outside
2023-09-09 11:27:43.466, [INFO],Judge Storage:L0,853,0,0,0,0
2023-09-09 11:27:43.917, [INFO],Still Outside
2023-09-09 11:27:44.468, [INFO],Judge Storage:L0,862,0,0,0,0
2023-09-09 11:27:44.481, [INFO],Still Outside
2023-09-09 11:27:45.44 , [INFO],Still Outside
2023-09-09 11:27:45.472, [INFO],Judge Storage:L0,844,0,0,0,0
2023-09-09 11:27:45.607, [INFO],Still Outside
2023-09-09 11:27:46.169, [INFO],Still Outside
2023-09-09 11:27:46.477, [INFO],Judge Storage:L0,848,0,0,0,0
2023-09-09 11:27:46.732, [INFO],Still Outside
2023-09-09 11:27:47.295, [INFO],Still Outside
2023-09-09 11:27:47.481, [INFO],Judge Storage:L0,855,0,0,0,0
2023-09-09 11:27:47.858, [INFO],Still Outside
2023-09-09 11:27:48.422, [INFO],Still Outside
2023-09-09 11:27:48.484, [INFO],Judge Storage:L0,865,0,0,0,0
2023-09-09 11:27:48.985, [INFO],Still Outside
2023-09-09 11:27:49.487, [INFO],Judge Storage:L0,841,0,0,0,0
2023-09-09 11:27:49.549, [INFO],Still Outside
2023-09-09 11:27:50.112, [INFO],Still Outside
2023-09-09 11:27:50.491, [INFO],Judge Storage:L0,854,0,0,0,0
2023-09-09 11:27:50.675, [INFO],Still Outside
2023-09-09 11:27:51.237, [INFO],Still Outside
2023-09-09 11:27:51.493, [INFO],Judge Storage:L0,859,0,0,0,0
2023-09-09 11:27:51.800, [INFO],Still Outside
2023-09-09 11:27:52.363, [INFO],Still Outside
2023-09-09 11:27:52.496, [INFO],Judge Storage:L0,863,0,0,0,0
2023-09-09 11:27:52.925, [INFO],Still Outside
